114,81141,"Martorell",NULL,37.134,11,8,NULL,201801011500,26170,56,"Baix Llobregat"
115,81154,"Martorelles",NULL,29.3467,41,8,NULL,201707262100,4938,96,"Vallès Oriental"
116,81167,"les Masies de Roda",NULL,16.1955,24,8,NULL,201707262100,742,468,"Osona"
117,81173,"les Masies de Voltregà",NULL,14.9722,24,8,NULL,201707262100,3125,533,"Osona"
118,81189,"el Masnou",NULL,23.0711,21,8,NULL,201707262100,21833,27,"Maresme"
119,81192,"Masquefa","17.14",37.0937,6,8,20101117,201707262100,7414,257,"Anoia"
120,81206,"Matadepera",NULL,61.757,40,8,NULL,201801011500,8169,423,"Vallès Occidental"
121,81213,"Mataró",NULL,51.1291,21,8,NULL,201707262100,118748,28,"Maresme"
122,81228,"Mediona",NULL,14.8784,3,8,NULL,201707262100,2083,430,"Alt Penedès"
123,81234,"Molins de Rei",NULL,24.65,11,8,NULL,201801011500,23374,37,"Baix Llobregat"
124,81249,"Mollet del Vallès",NULL,27.9533,41,8,NULL,201707262100,51713,65,"Vallès Oriental"
125,81252,"Montcada i Reixac",NULL,21.191,40,8,NULL,201707262100,32153,36,"Vallès Occidental"
126,81265,"Montgat",NULL,12.5418,21,8,NULL,201707262100,9427,20,"Maresme"
127,81271,"Monistrol de Montserrat","11.9055",8.1999,7,8,20141022,201707262100,2840,161,"Bages"
128,81287,"Monistrol de Calders",NULL,31.0492,42,8,NULL,201801011500,691,447,"Moianès"
129,81290,"Muntanyola","40.4734",52.3546,24,8,20150730,201707262100,464,807,"Osona"
130,81304,"Montclar",NULL,3.0197,14,8,NULL,201707262100,116,728,"Berguedà"
131,81311,"Montesquiu","4.8438",27.7234,24,8,20150429,201707262100,875,577,"Osona"
132,81326,"Montmajor",NULL,22.3298,14,8,NULL,201707262100,463,756,"Berguedà"
133,81332,"Montmaneu",NULL,93.3899,6,8,NULL,201707262100,201,709,"Anoia"
134,81347,"Figaró-Montmany",NULL,12.4159,41,8,NULL,201707262100,1019,330,"Vallès Oriental"
135,81350,"Montmeló",NULL,18.4081,41,8,NULL,201707262100,8921,72,"Vallès Oriental"
136,81363,"Montornès del Vallès",NULL,45.43,41,8,NULL,201707262100,14516,116,"Vallès Oriental"
137,81379,"Montseny",NULL,29.03,41,8,NULL,201707262100,299,528,"Vallès Oriental"
138,81385,"Moià","75.5357",10.7775,42,8,20170726,201707262100,5399,717,"Moianès"
139,81398,"Mura",NULL,53.3565,7,8,NULL,201801011500,233,454,"Bages"
140,81402,"Navarcles","5.5145",8.7525,7,8,20170726,201707262100,5723,269,"Bages"
141,81419,"Navàs",NULL,10.9619,7,8,NULL,201707262100,5810,370,"Bages"
142,81424,"la Nou de Berguedà",NULL,25.7504,14,8,NULL,201801011500,162,876,"Berguedà"
143,81430,"Òdena","52.0926",31.4,6,8,20150128,201707262100,3100,421,"Anoia"
144,81445,"Olvan",NULL,6.2131,14,8,NULL,201707262100,922,553,"Berguedà"
145,81458,"Olèrdola",NULL,10.5608,3,8,NULL,201707262100,3084,189,"Alt Penedès"
146,81461,"Olesa de Bonesvalls",NULL,3.6217,3,8,NULL,201707262100,1506,265,"Alt Penedès"
147,81477,"Olesa de Montserrat","16.6260",16.1325,11,8,20171213,201801011500,21714,124,"Baix Llobregat"
148,81483,"Olivella",NULL,22.1355,17,8,NULL,201801011500,2515,211,"Garraf"
